City ID,City,Country,Lat,Long,Date,Temp Max,Humidity,Cloudiness,Wind Speed
6170031,Tuktoyaktuk,CA,69.45,-133.04,12/28/2020,-11.2,76,75,3.1
1491230,Sovetskiy,RU,61.36,63.58,12/28/2020,-13.486,88,100,3.68
3463920,Esplanada,BR,-11.8,-37.95,12/28/2020,86.144,47,15,5.48
3166595,Sestri Levante,IT,44.27,9.4,12/28/2020,42.998,98,80,1.55
3414079,Olafsvik,IS,64.89,-23.71,12/28/2020,29.372,86,15,2.72
3945985,Camaná,PE,-16.62,-72.71,12/28/2020,75.632,65,100,4.47
934322,Mahébourg,MU,-20.41,57.7,12/28/2020,77,78,75,3.6
5746545,Portland,US,45.52,-122.68,12/28/2020,41,83,60,0.45
5354943,Half Moon Bay,US,37.46,-122.43,12/28/2020,50,81,90,1.5
610864,Khani,GE,41.96,42.96,12/28/2020,57.2,30,0,10.8
1631637,Pemangkat,ID,1.17,108.97,12/28/2020,77.81,84,96,3.05
461442,Ape,LV,57.54,26.69,12/28/2020,32.828,93,100,7.1
2022572,Khatanga,RU,71.97,102.5,12/28/2020,-30.01,84,83,6.81
172515,Abu Samrah,SY,35.3,37.18,12/28/2020,49.694,65,100,3.08
5866583,Saint Paul Harbor,US,57.79,-152.41,12/28/2020,39.2,82,90,7.2
3985710,Cabo San Lucas,MX,22.89,-109.91,12/28/2020,75.002,40,5,1.5
2641181,Norwich,GB,52.63,1.3,12/28/2020,39.992,93,75,2.1
223816,Djibouti,DJ,11.5,42.5,12/28/2020,78.8,65,20,2.1
3984997,San Quintín,MX,30.48,-115.95,12/28/2020,59.198,67,70,3.11
3671519,Puerto Carreño,CO,6.19,-67.49,12/28/2020,91.796,47,45,4.59
2038067,Chifeng,CN,42.27,118.96,12/28/2020,-6.412,81,70,4.67
5848280,Kapaa,US,22.08,-159.32,12/28/2020,68,94,1,3.1
2630299,Hofn,IS,64.25,-15.21,12/28/2020,30.2,50,75,12.3
2264557,Ponta do Sol,PT,32.67,-17.1,12/28/2020,60.998,63,75,5.7
3843123,Neuquén,AR,-38.95,-68.06,12/28/2020,87.8,35,0,3.1
2024626,Dzhebariki-Khaya,RU,62.22,135.8,12/28/2020,-43.942,77,99,0.81
3831208,Qaanaaq,GL,77.48,-69.36,12/28/2020,16.664,78,83,3.26
1058381,Morondava,MG,-20.28,44.28,12/28/2020,76.784,92,100,9.59
1730622,Anito,PH,12.45,125.29,12/28/2020,77.072,90,94,2.16
964432,Port Alfred,ZA,-33.59,26.89,12/28/2020,71.006,85,39,4.02
108410,Riyadh,SA,24.69,46.72,12/28/2020,59,62,0,1.5
3894426,Coyhaique,CL,-45.58,-72.07,12/28/2020,68,56,90,2.6
1685422,Sulangan,PH,11.14,123.72,12/28/2020,80.726,79,81,3.32
4036284,Alofi,NU,-19.06,-169.92,12/28/2020,71.6,94,40,0.5
3421193,Paamiut,GL,61.99,-49.67,12/28/2020,29.282,93,100,9.06
3386177,Trairi,BR,-3.28,-39.27,12/28/2020,86.936,53,40,7.83
2315026,Kasongo-Lunda,CD,-6.47,16.82,12/28/2020,73.742,89,100,0.61
2191562,Dunedin,NZ,-45.87,170.5,12/28/2020,46.994,79,0,3.13
5918118,Castlegar,CA,49.3,-117.67,12/28/2020,32,92,92,2.1
3655131,La Libertad,EC,-2.23,-80.9,12/28/2020,78.8,69,0,4.6
1651810,Airai,TL,-8.93,125.41,12/28/2020,61.412,100,100,0.56
1879613,Anju,KP,39.62,125.66,12/28/2020,32,93,100,1.47
2180815,Tuatapere,NZ,-46.13,167.68,12/28/2020,48.002,91,39,0.89
290030,Doha,QA,25.29,51.53,12/28/2020,68,72,0,1
921786,Mitsamiouli,KM,-11.38,43.28,12/28/2020,82.022,78,91,4.6
64013,Bosaso,SO,11.28,49.18,12/28/2020,77.324,78,54,6.85
